"","cvol.us","cvol.ch","cvol.hk","cvol.cd","cvol.ko","cvol.mx","cvol.sa","cvol.ta","cvol.jp","Date"
"1",0.000123167530608044,0.000163538691031342,0.000163189880610861,0.0000885348959167606,0.000108923424700115,0.000094528083966151,0.00011633467640854,0.0000959320082997927,0.000169591350972617,2010-04-02
"2",0.000102265983944391,0.000152846502993125,0.00017192170990071,0.0000760767435459507,0.0000983623687953313,0.000094528083966151,0.00011633467640854,0.0000959320082997927,0.000150335187164498,2010-04-05
"3",0.0000855165359088507,0.000142940918648695,0.00016244164880478,0.0000655973580027996,0.0000886860045812123,0.000094528083966151,0.000102890499000819,0.0000878105556077591,0.000135101556527342,2010-04-06
"4",0.0000720943708408878,0.000134526990828313,0.000166429735379681,0.0000567824456391244,0.0000802218188624946,0.000094528083966151,0.0000960425079585127,0.0000822774825086963,0.000124342069775498,2010-04-07
"5",0.000061338522962834,0.000131872819950717,0.000157475210385663,0.0000493676330378208,0.0000728242103280968,0.000094528083966151,0.000087994935917398,0.000077930599095676,0.000111385869812455,2010-04-08
"6",0.000059332571798897,0.000128610495149105,0.000148679904461358,0.0000431305380283444,0.0000678665478981302,0.0000579877864053568,0.000079118040684828,0.0000752007685557955,0.000117433039626704,2010-04-09
"7",0.0000513317574316011,0.000122452714507679,0.000140343491487134,0.0000391647796392129,0.0000652277267388888,0.0000543897321556139,0.000071552160692078,0.0000688414278489643,0.00010640468089664,2010-04-12
"8",0.000044701188668054,0.000121854497629932,0.00013269834467386,0.0000371911326796831,0.0000669691767209432,0.0000581964195797537,0.0000840390817901255,0.000069394587412963,0.0000979371399159436,2010-04-13
"9",0.0000586016664940612,0.000114328326439714,0.000136017205875426,0.000042342820299949,0.000061263272423757,0.0000601404479523544,0.0000840964358040822,0.0000743091466132369,0.0000986578504910646,2010-04-14
"10",0.0000506484199118143,0.000107269373781658,0.00015514369159881,0.0000372342238950189,0.0000760279473620125,0.0000821853742799438,0.0000757201665864922,0.000074674217534771,0.0000911849585196336,2010-04-15
"11",0.0000932072214652059,0.000108917484562592,0.000151937748652834,0.000052915846611892,0.0000713260952180265,0.0000894749528829191,0.0000686769215100055,0.0000752378321921816,0.000087300941386888,2010-04-16
"12",0.000079952243481573,0.000262526438326146,0.000145064870327396,0.0000473300534757102,0.0000682820881253013,0.0000963078024597949,0.0000627504545867078,0.000126757801231594,0.000111672780233556,2010-04-19
"13",0.000077613412830129,0.000244630675124762,0.000137439171816793,0.0000414252878165538,0.0000919905613951361,0.0000915112639898554,0.0000609008892249935,0.000181707500875035,0.00014139402998733,2010-04-20
"14",0.0000664162515889461,0.000249340043549079,0.000135756772541689,0.000036721552348346,0.0000881994787714868,0.000089731973821753,0.0000935855701902308,0.000164625658812599,0.000125875534572409,2010-04-21
"15",0.000057008615687604,0.000241607296573406,0.000142551526006426,0.0000328363706759141,0.000107802388446992,0.0000700996165674615,0.0000999739778782341,0.000150247711452599,0.000146132588099933,2010-04-22
"16",0.0000570653311071174,0.000226902523841667,0.000148308202163365,0.0000333655995127305,0.000099269371133094,0.0000649148682942181,0.0000892184029433472,0.000131063795754683,0.000151700799185489,2010-04-23
"17",0.0000528867992337981,0.00021298371048545,0.000152985195483438,0.0000307252740700634,0.000089730631455217,0.000189315494731718,0.0000800666138525812,0.00013231237435006,0.000136044268092128,2010-04-26
"18",0.00015000748442897,0.000227918394318084,0.000148394109529514,0.0000460117420197028,0.0000881790527229893,0.000225164715363,0.00013900740002477,0.000137630319084538,0.000180795365771885,2010-04-27
"19",0.000127281325137532,0.000212785515644267,0.000153824444849649,0.0000442553105888318,0.0000800832995035655,0.000186662183587466,0.000152510983159327,0.000123815192413993,0.000160093735102812,2010-04-28
"20",0.000131238301129928,0.000206653716676955,0.000157055946404025,0.0000537977445632721,0.0000812181189384852,0.000126593610111058,0.000137822578490337,0.000113764258313346,0.000228123011139181,2010-04-29
"21",0.000163135328904859,0.000192860931787654,0.000148481918744752,0.0000468575857481812,0.0000748726940927574,0.000160436498930401,0.000122846682412053,0.000103177393733711,0.000214015719073947,2010-04-30
"22",0.000154705524937613,0.000190433001792212,0.00016654610902063,0.0000414581770282271,0.0000734616875739709,0.000103169686951094,0.000108414746630008,0.0000964678681912552,0.00032683894175937,2010-05-03
"23",0.000223812734792399,0.000182038008478596,0.000162476165748865,0.0000654169728032986,0.0000813134283799503,0.000130551735974818,0.0000968568993723584,0.0000891214633748815,0.000406551841119108,2010-05-04
"24",0.000196849031710566,0.000289804971265992,0.000159943156932878,0.0000794719754561446,0.0000740646839200391,0.000124670756082324,0.000086918981859181,0.000127489000743994,0.000375666173897184,2010-05-06
"25",0.000361679320741029,0.000291109216100544,0.00018620863718784,0.0000690035129845439,0.000108351119263244,0.000182390043245616,0.0000873767607135599,0.000184364134593497,0.000339340624500317,2010-05-07
"26",0.000353270807609753,0.000272293733470039,0.00018650824746748,0.0000843475815047059,0.000148205915505773,0.000165422531952465,0.0000826067088579133,0.00017557177268577,0.000291783983860508,2010-05-10
"27",0.000563801593414251,0.000278633268665124,0.000175962322556409,0.000136742466384932,0.000163838250113033,0.00014993626568443,0.0000744930553839707,0.000159689542673777,0.000304672394574237,2010-05-11
"28",0.000457185968884535,0.000260325417036708,0.000171482687065027,0.000117128824839747,0.000147958176215407,0.000095991269667488,0.0000743554859098544,0.000151317026826761,0.000292074867251995,2010-05-12
"29",0.000392372031639458,0.000270161549572376,0.00017259635953241,0.000129817447560714,0.000134022093156495,0.000125468262029427,0.00008075843947933,0.000135421021616207,0.000313832825674496,2010-05-13
